Date;Time;Device ID;Dendro;Air Temp;Air Hum;Soil Temp;Soil Moisture;Battery Level
2024/06/08;02:12:08;6;3760,86;7,7;94,42;7,689999999999999;8,388144;100
2024/06/08;02:12:30;1;3477,21;6,8;99,9;10,69;37,28064;98
2024/06/08;02:13:19;3;5217,04;6,92;99,9;10,81;26,096448;100
2024/06/08;02:16:11;4;4056,37;7,4;100;10,12;33,552576;97
2024/06/08;02:18:02;6;3760,69;7,7;94,9;7,62;8,388144;100
2024/06/08;02:18:29;1;3477,02;6,7;99,9;10,69;37,28064;98
2024/06/08;02:19:11;3;5217,2;6,96;99,9;10,75;26,096448;100
2024/06/08;02:21:29;2;3663,78;6,5;98,4;11,56;8,388144;100
2024/06/08;02:22:09;4;4056,92;7,3;100;10,06;33,552576;97
2024/06/08;02:23:56;6;3760,58;7,6;94,7;7,56;8,388144;100
2024/06/08;02:24:21;1;3478,3;6,6;99,9;10,69;37,28064;98
2024/06/08;02:25:05;3;5217,23;6,84;99,9;10,69;26,096448;100
2024/06/08;02:28:07;4;4056,9;7,4;100;10,06;34,018584;97
2024/06/08;02:29:52;6;3760,51;7,6;95,1;7,56;8,388144;100
2024/06/08;02:30:20;1;3478,07;6,7;99,9;10,62;37,28064;98
2024/06/08;02:31:01;3;5217,35;6,9;99,9;10,62;26,096448;100
2024/06/08;02:32:41;2;3664,33;6,5;98,72;11,56;8,388144;100
2024/06/08;02:34:02;4;4056,23;7,3;100;10,06;33,552576;97
2024/06/08;02:35:47;6;3760,7;7,6;95;7,5;8,388144;100
2024/06/08;02:36:18;1;3478,71;6,6;99,9;10,62;37,28064;98
2024/06/08;02:36:55;3;5217,44;7;99,9;10,62;26,096448;100
2024/06/08;02:39:57;4;4056,35;7,3;100;10;33,552576;97
2024/06/08;02:41:47;6;3760,69;7,7;95,1;7,62;8,388144;100
2024/06/08;02:42:13;1;3477,58;6,52;99,9;10,56;37,28064;98
2024/06/08;02:42:47;3;5217,36;7;99,9;10,56;26,096448;100
2024/06/08;02:43:53;2;3665;6,54;98,82;11,5;8,388144;100
2024/06/08;02:45:55;4;4057,24;7,3;100;9,94;33,552576;97
2024/06/08;02:47:46;6;3761,02;7,6;95,1;7,56;8,388144;100
2024/06/08;02:48:12;1;3477,84;6,5;99,9;10,5;37,28064;98
2024/06/08;02:48:47;3;5217,34;6,82;99,9;10,62;26,096448;100
2024/06/08;02:51:47;4;4057,58;7,2;100;9,94;33,552576;97
2024/06/08;02:53:45;6;3760,98;7,5;94,8;7,5;8,388144;100
2024/06/08;02:54:10;1;3478,63;6,4;99,9;10,5;37,28064;98
2024/06/08;02:54:45;3;5217,68;6,72;99,9;10,56;26,096448;100
2024/06/08;02:55:07;2;3666,49;6,4;98,6;11,44;8,388144;100
2024/06/08;02:57:44;4;4057,53;7,1;100;9,94;33,552576;97
2024/06/08;03:00:04;6;3761,15;7,4;94,8;7,44;8,388144;100
