Datetime,Air Temp,Air Hum,Soil Temp,Soil Moisture
2024-06-08 02:12:08,"7,7","94,42",7.69,"8,388,144"
2024-06-08 02:12:30,"6,8","99,9","10,69","3,728,064"
2024-06-08 02:13:19,"6,92","99,9","10,81","26,096,448"
2024-06-08 02:16:11,"7,4",100,"10,12","33,552,576"
2024-06-08 02:18:02,"7,7","94,9","7,62","8,388,144"
2024-06-08 02:18:29,"6,7","99,9","10,69","3,728,064"
2024-06-08 02:19:11,"6,96","99,9","10,75","26,096,448"
2024-06-08 02:21:29,"6,5","98,4","11,56","8,388,144"
2024-06-08 02:22:09,"7,3",100,"10,06","33,552,576"
2024-06-08 02:23:56,"7,6","94,7","7,56","8,388,144"
2024-06-08 02:24:21,"6,6","99,9","10,69","3,728,064"
2024-06-08 02:25:05,"6,84","99,9","10,69","26,096,448"
2024-06-08 02:28:07,"7,4",100,"10,06","34,018,584"
2024-06-08 02:29:52,"7,6","95,1","7,56","8,388,144"
2024-06-08 02:30:20,"6,7","99,9","10,62","3,728,064"
2024-06-08 02:31:01,"6,9","99,9","10,62","26,096,448"
2024-06-08 02:32:41,"6,5","98,72","11,56","8,388,144"
2024-06-08 02:34:02,"7,3",100,"10,06","33,552,576"
2024-06-08 02:35:47,"7,6",95,"7,5","8,388,144"
2024-06-08 02:36:18,"6,6","99,9","10,62","3,728,064"
2024-06-08 02:36:55,7,"99,9","10,62","26,096,448"
2024-06-08 02:39:57,"7,3",100,10,"33,552,576"
2024-06-08 02:41:47,"7,7","95,1","7,62","8,388,144"
2024-06-08 02:42:13,"6,52","99,9","10,56","3,728,064"
2024-06-08 02:42:47,7,"99,9","10,56","26,096,448"
2024-06-08 02:43:53,"6,54","98,82","11,5","8,388,144"
2024-06-08 02:45:55,"7,3",100,"9,94","33,552,576"
2024-06-08 02:47:46,"7,6","95,1","7,56","8,388,144"
2024-06-08 02:48:12,"6,5","99,9","10,5","3,728,064"
2024-06-08 02:48:47,"6,82","99,9","10,62","26,096,448"
2024-06-08 02:51:47,"7,2",100,"9,94","33,552,576"
2024-06-08 02:53:45,"7,5","94,8","7,5","8,388,144"
2024-06-08 02:54:10,"6,4","99,9","10,5","3,728,064"
2024-06-08 02:54:45,"6,72","99,9","10,56","26,096,448"
2024-06-08 02:55:07,"6,4","98,6","11,44","8,388,144"
2024-06-08 02:57:44,"7,1",100,"9,94","33,552,576"
2024-06-08 03:00:04,"7,4","94,8","7,44","8,388,144"
2024-06-08 03:00:41,"6,4","99,9","10,5","3,728,064"
2024-06-08 03:00:42,"6,7","99,9","10,5","26,096,448"
2024-06-08 03:03:37,"7,1",100,"9,81","33,552,576"
2024-06-08 03:06:03,"7,44","95,2","7,5","8,388,144"
2024-06-08 03:06:24,"6,42","99,28","11,38","8,388,144"
2024-06-08 03:06:38,"6,5","99,9","10,44","3,728,064"
2024-06-08 03:06:41,"6,8","99,9","10,5","26,096,448"
2024-06-08 03:09:36,"7,2",100,"9,81","33,552,576"
2024-06-08 03:12:00,"7,6","95,72","7,44","8,388,144"
2024-06-08 03:12:35,"6,5","99,9","10,44","3,728,064"
2024-06-08 03:12:39,"6,88","99,9","10,44","26,096,448"
2024-06-08 03:15:31,"7,12",100,"9,75","34,018,584"
2024-06-08 03:17:43,"6,32","99,12","11,31","8,388,144"
2024-06-08 03:17:53,"7,5","95,58","7,44","8,388,144"
2024-06-08 03:18:30,"6,4","99,9","10,44","3,728,064"
2024-06-08 03:18:38,"6,8","99,9","10,44","26,096,448"
2024-06-08 03:21:29,7,100,"9,81","34,018,584"
2024-06-08 03:23:48,"7,4","95,44","7,31","8,388,144"
2024-06-08 03:24:23,"6,4","99,9","10,38","3,728,064"
2024-06-08 03:24:30,"6,72","99,9","10,44","26,096,448"
2024-06-08 03:27:26,"7,1",100,"9,75","33,086,568"
2024-06-08 03:29:29,"6,2","99,1","11,19","8,388,144"
2024-06-08 03:29:45,"7,34","95,2","7,25","8,388,144"
2024-06-08 03:30:23,"6,22","99,9","10,44","3,728,064"
2024-06-08 03:30:29,"6,6","99,9","10,38","26,096,448"
2024-06-08 03:33:23,7,100,"9,75","34,018,584"
2024-06-08 03:35:41,"7,3","95,5","7,38","8,388,144"
2024-06-08 03:36:21,"6,2","99,9","10,38","3,728,064"
2024-06-08 03:36:25,"6,62","99,9","10,38","26,096,448"
2024-06-08 03:39:20,7,100,"9,62","34,018,584"
2024-06-08 03:40:45,"6,3","99,42","11,19","8,388,144"
2024-06-08 03:42:12,"7,4","95,5","7,44","8,388,144"
2024-06-08 03:42:23,"6,62","99,9","10,38","26,096,448"
2024-06-08 03:42:44,"6,2","99,9","10,31","36,814,632"
2024-06-08 03:45:12,"6,94",100,"9,69","3,262,056"
2024-06-08 03:48:09,"7,24","95,22","7,19","8,388,144"
2024-06-08 03:48:19,"6,52","99,9","10,31","26,096,448"
2024-06-08 03:48:41,"6,14","99,9","10,31","36,814,632"
2024-06-08 03:51:10,"6,8",100,"9,56","3,262,056"
2024-06-08 03:51:58,"6,1","99,28","11,25","8,388,144"
2024-06-08 03:54:02,"7,14","95,2","7,12","8,388,144"
2024-06-08 03:54:15,"6,5","99,9","10,25","26,096,448"
2024-06-08 03:54:38,6,"99,9","10,31","36,814,632"
2024-06-08 03:57:06,"6,8",100,"9,56","3,262,056"
2024-06-08 04:00:00,"7,1","95,24","7,06","8,388,144"
2024-06-08 04:00:09,"6,4","99,9","10,31","26,096,448"
2024-06-08 04:00:36,6,"99,9","10,25","36,814,632"
2024-06-08 04:02:58,"6,74",100,"9,5","3,262,056"
2024-06-08 04:03:14,6,"99,3","11,12","8,388,144"
2024-06-08 04:05:55,"7,1","95,58","7,06","8,388,144"
2024-06-08 04:06:07,"6,5","99,9","10,25","26,096,448"
2024-06-08 04:06:33,6,"99,9","10,25","36,814,632"
2024-06-08 04:08:56,"6,8",100,"9,5","32,154,552"
2024-06-08 04:11:50,"7,2","95,7","7,06","8,388,144"
